,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,305.0,305.15,0.10000000000000142,0.44662974527439064,40.0,0.0025000000000000356,90.0,0.0,1.0,-2045.5701948917388,-2044.900065425763,-0.6701294659758332
1,306.0,305.37916666666666,0.5708333333333329,0.44662974527439064,40.0,0.014270833333333321,90.0,0.0,1.0,-2050.2611011535705,-2046.4357787852912,-3.8253223682797852
2,307.0,305.525,1.375,0.44662974527439064,40.0,0.034375,90.0,0.0,1.0,-2056.6273310803426,-2047.4130509231727,-9.214280157170094
3,308.0,305.97142857142853,2.0642857142857145,0.44662974527439064,40.0,0.051607142857142865,90.0,0.0,1.0,-2064.238087158213,-2050.4047003248515,-13.83338683336173
4,309.0,306.25,2.7799999999999985,0.44662974527439064,40.0,0.06949999999999995,90.0,0.0,1.0,-2070.9010887056315,-2052.2714895514987,-18.62959915413303
5,310.0,306.4,3.5500000000000007,0.44662974527439064,40.0,0.08875000000000001,90.0,0.0,1.0,-2077.066279792611,-2053.276683750463,-23.789596042148105
6,311.0,306.65,4.266666666666667,0.44662974527439064,40.0,0.10666666666666667,90.0,0.0,1.0,-2083.544197963712,-2054.952007415403,-28.592190548309343
7,312.0,307.06666666666666,4.916666666666667,0.44662974527439064,40.0,0.12291666666666667,90.0,0.0,1.0,-2090.692245600789,-2057.744213523636,-32.948032077153435
8,313.0,307.3642857142857,5.671428571428573,0.44662974527439064,40.0,0.14178571428571432,90.0,0.0,1.0,-2097.7445604570134,-2059.7386464580886,-38.00591399892476
9,314.0,307.8,6.2299999999999995,0.44662974527439064,40.0,0.15575,90.0,0.0,1.0,-2104.4075620044314,-2062.6584962741267,-41.74906573030485
10,315.0,308.18571428571425,6.678571428571426,0.44662974527439064,40.0,0.16696428571428568,90.0,0.0,1.0,-2109.9983564062886,-2065.2432813571772,-44.75507504911138
11,316.0,308.6142857142857,7.478571428571429,0.44662974527439064,40.0,0.18696428571428572,90.0,0.0,1.0,-2118.2313755597083,-2068.1152647827885,-50.11611077691954
12,317.0,309.025,7.925,0.44662974527439064,40.0,0.198125,90.0,0.0,1.0,-2123.975342410931,-2070.8675822323326,-53.10776017859788
13,318.0,309.47142857142853,8.47857142857143,0.44662974527439064,40.0,0.21196428571428574,90.0,0.0,1.0,-2130.676637070691,-2073.8592316340114,-56.81740543667944
14,319.0,309.82857142857137,9.207142857142857,0.44662974527439064,40.0,0.23017857142857143,90.0,0.0,1.0,-2137.952328415573,-2076.252551155354,-61.699777260218916
15,320.0,310.30625,9.543750000000001,0.44662974527439064,40.0,0.23859375000000002,90.0,0.0,1.0,-2143.4090969242347,-2079.45361601515,-63.95548090908437
16,321.0,310.80625,10.06875,0.44662974527439064,40.0,0.25171875,90.0,0.0,1.0,-2150.277923950489,-2082.8042633450304,-67.47366060545852
17,322.0,311.275,10.674999999999999,0.44662974527439064,40.0,0.266875,90.0,0.0,1.0,-2157.4818157097307,-2085.945495216793,-71.53632049293803
18,323.0,311.6,11.09,0.4799603232799422,40.0,0.27724999999999994,90.0,0.0,1.0,-1969.3470546272704,-1901.6658161760745,-67.68123845119578
19,324.0,312.17777777777775,11.66111111111111,0.47996032327994226,40.0,0.2915277777777778,90.0,0.0,1.0,-1976.3586166509692,-1905.1919402112035,-71.1666764397656
20,325.0,312.6222222222222,12.350000000000001,0.47996032327994226,40.0,0.30875,90.0,0.0,1.0,-1983.2752445660299,-1907.9043433151487,-75.37090125088076
21,326.0,313.603125,12.359375,0.49662561228271795,40.0,0.308984375,90.0,0.0,1.0,-1898.2979557736678,-1826.2207611155773,-72.07719465809068
22,327.0,314.0875,12.925,0.5132909012854937,40.0,0.323125,90.0,0.0,1.0,-1813.1897470530332,-1741.5243597034353,-71.665387349598
23,328.0,314.6,13.389999999999997,0.5132909012854937,40.0,0.33475,90.0,0.0,1.0,-1818.6097018796663,-1744.3660239987287,-74.2436778809376
24,329.0,315.24615384615385,13.826923076923077,0.5132909012854937,40.0,0.34567307692307697,90.0,0.0,1.0,-1824.6150502140351,-1747.9487602209376,-76.66628999309766
25,330.0,315.43125,14.568750000000001,0.5132909012854937,40.0,0.36421875000000004,90.0,0.0,1.0,-1829.754570628037,-1748.9750648679244,-80.77950576011258
26,331.0,315.82857142857137,15.192857142857141,0.5132909012854937,40.0,0.3798214285714286,90.0,0.0,1.0,-1835.418096679981,-1751.1780972919757,-84.23999938800509
27,332.0,316.15,16.0,0.5132909012854937,40.0,0.39999999999999997,90.0,0.0,1.0,-1841.6756988912196,-1752.9603257698607,-88.71537312135928
28,333.0,316.6222222222222,16.450000000000003,0.5466214792910453,40.0,0.41125,90.0,0.0,1.0,-1672.5705511629722,-1589.9644863789988,-82.60606478397341
29,334.0,317.1,16.95,0.5466214792910453,40.0,0.42374999999999996,90.0,0.0,1.0,-1677.4806043213575,-1592.3637168995733,-85.11688742178436
30,335.0,317.48999999999995,17.484,0.5479547024112673,40.0,0.4371,90.0,0.0,1.0,-1675.519625099852,-1588.0597413392825,-87.45988376056961
31,336.0,318.3736842105263,17.534210526315793,0.5729350935059544,40.0,0.4383552631578948,90.0,0.0,1.0,-1556.279165263744,-1475.0428182551539,-81.2363470085902
32,337.0,318.9642857142857,17.98,0.5875704751264371,40.0,0.4495,90.0,0.0,1.0,-1490.3844255287174,-1410.8665376715326,-79.51788785718462
33,338.0,319.61875,18.53125,0.6132826353021483,40.0,0.46328125000000003,90.0,0.0,1.0,-1374.5658411434479,-1299.2370721247005,-75.32876901874756
34,339.0,319.8891304347826,19.1304347826087,0.6132826353021483,40.0,0.47826086956521746,90.0,0.0,1.0,-1378.1005879850052,-1300.3361574707471,-77.76443051425808
35,340.0,320.04772727272723,19.693181818181817,0.6132826353021483,40.0,0.4923295454545455,90.0,0.0,1.0,-1381.032821160388,-1300.9808470935538,-80.05197406683413
36,341.0,320.87727272727267,20.118181818181817,0.6132826353021483,40.0,0.5029545454545454,90.0,0.0,1.0,-1386.132496830889,-1304.3529152452438,-81.7795815856452
37,342.0,321.0462264150943,20.933962264150942,0.6302623637200708,40.0,0.5233490566037736,90.0,0.0,1.0,-1313.4161392550675,-1233.0956547612532,-80.32048449381428
38,343.0,321.4670731707317,21.458536585365856,0.6466132133076999,40.0,0.5364634146341464,90.0,0.0,1.0,-1243.0923117711204,-1165.3059315993394,-77.78638017178099
39,344.0,322.28106796116504,21.663106796116505,0.6466132133076998,40.0,0.5415776699029126,90.0,0.0,1.0,-1246.784571217452,-1168.256631800847,-78.52793941660492
40,345.0,322.66829268292685,22.013414634146343,0.6474261542346647,40.0,0.5503353658536585,90.0,0.0,1.0,-1245.9464040061584,-1166.3718193949605,-79.57458461119786
