,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,304.0,0.0,0.1054092553389456,0.0,0.0,0.00087841046115788,0.0,0.0,0.0,0.7743483874132081,0.0,0.7743483874132305
1,305.0,0.12198750911856239,0.29134335822351143,0.0,0.0,0.0024278613185292623,0.0,0.0,0.0,2.5447684749234054,0.896134126617043,2.1402414702434447
2,306.0,0.0,0.34156502553198836,0.0,0.0,0.00284637521276657,0.0,0.0,0.0,2.509175554527381,0.0,2.509175554527488
3,307.0,0.0,0.20000000000000284,0.0,0.0,0.0016666666666666878,0.0,0.0,0.0,1.4692227640225042,0.0,1.4692227640223332
4,308.0,0.1767766952966369,0.1767766952966369,0.0,0.0,0.0014731391274719749,0.0,0.0,0.0,0.0,1.2986217243924945,1.2986217243924945
5,309.0,0.1767766952966369,0.03535533905932537,0.0,0.0,0.00029462782549437955,0.0,0.0,0.0,1.0388973795138348,1.2986217243923337,0.2597243448784989
6,310.0,0.0,0.34641016151377624,0.0,0.0,0.0028867513459481346,0.0,0.0,0.0,2.544768474923297,0.0,2.544768474923329
8,312.0,0.14433756729740232,0.5267826876426389,0.0,0.0,0.004389855730355324,0.0,0.0,0.0,3.058431073507182,1.06032019788448,3.8698055818872685
9,313.0,0.0,0.28284271247462306,0.0,0.0,0.002357022603955193,0.0,0.0,0.0,2.077794759027348,0.0,2.077794759027348
11,315.0,0.14433756729741465,0.30138568866708615,0.0,0.0,0.002511547405559058,0.0,0.0,0.0,2.544768474923297,1.0603201978846113,2.2140135727010386
12,316.0,0.3535533905932738,0.21213203435596223,0.0,0.0,0.0017677669529663508,0.0,0.0,0.0,1.0388973795139955,2.5972434487845066,1.5583460692706719
13,317.0,0.1767766952966369,0.10606601717798615,0.0,0.0,0.0008838834764832244,0.0,0.0,0.0,2.077794759027348,1.2986217243923337,0.7791730346351751
15,319.0,0.3535533905932738,0.21213203435596728,0.0,0.0,0.0017677669529664046,0.0,0.0,0.0,1.0388973795135132,2.597243448784828,1.5583460692709934
16,320.0,0.1767766952966369,0.24748737341529264,0.0,0.0,0.002062394778460772,0.0,0.0,0.0,3.1166921385413437,1.2986217243923337,1.8180704141491708
18,322.0,0.0,0.4242640687119295,0.0,0.0,0.0035355339059327407,0.0,0.0,0.0,3.1166921385413437,0.0,3.1166921385413437
19,323.0,0.5,0.15275252316519297,0.0,0.0,0.0012729376930432773,0.0,0.0,0.0,2.7899714491252783,3.3506473298801325,1.0236396677518773
21,325.0,0.1767766952966369,0.24748737341529264,0.0,0.0,0.002062394778460772,0.0,0.0,0.0,2.843118537987553,1.1846327241609982,1.6584858138263943
22,326.0,0.1767766952966369,0.10606601717798111,0.0,0.0,0.0008838834764831656,0.0,0.0,0.0,1.8954123586583689,1.1846327241614805,0.7107796344968883
23,327.0,0.0,0.282842712474618,0.0,0.0,0.002357022603955164,0.0,0.0,0.0,1.8954123586578866,0.0,1.8954123586580474
27,331.0,0.3535533905932738,0.07071067811865576,0.0,0.0,0.0005892556509887737,0.0,0.0,0.0,2.843118537987553,2.369265448322961,0.4738530896645922
