,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,00:00:00,306.34999999999997,305.9,0.45000000000000284,0.3799685892632876,100,0.004500000000000028,90,0,1,-2464.6411554194215,-2461.0208240339516,-3.6203313854698536
1,00:00:05,306.15,306.15,0.0,0.3799685892632876,100,0.0,90,0,1,-2463.0321192481015,-2463.0321192481015,0.0
2,00:00:10,306.15,305.9,0.25,0.3799685892632876,100,0.0025,90,0,1,-2463.0321192481015,-2461.0208240339516,-2.011295214149868
3,00:00:15,306.15,306.15,0.0,0.3799685892632876,100,0.0,90,0,1,-2463.0321192481015,-2463.0321192481015,0.0
4,00:00:20,306.75,306.15,0.6000000000000014,0.3799685892632876,100,0.006000000000000014,90,0,1,-2467.859227762062,-2463.0321192481015,-4.827108513960411
5,00:00:25,306.54999999999995,306.15,0.3999999999999986,0.3799685892632876,100,0.003999999999999986,90,0,1,-2466.2501915907415,-2463.0321192481015,-3.218072342639971
6,00:00:30,306.95,306.15,0.7999999999999972,0.3799685892632876,100,0.007999999999999972,90,0,1,-2469.468263933382,-2463.0321192481015,-6.4361446852803965
7,00:00:35,306.75,306.4,0.3500000000000014,0.3799685892632876,100,0.0035000000000000144,90,0,1,-2467.859227762062,-2465.043414462252,-2.815813299810088
8,00:00:40,307.34999999999997,306.15,1.2000000000000028,0.3799685892632876,100,0.012000000000000028,90,0,1,-2472.6863362760214,-2463.0321192481015,-9.654217027919913
9,00:00:45,307.54999999999995,306.15,1.3999999999999986,0.3799685892632876,100,0.013999999999999986,90,0,1,-2474.295372447342,-2463.0321192481015,-11.263253199240353
10,00:00:50,307.95,306.15,1.7999999999999972,0.3799685892632876,100,0.01799999999999997,90,0,1,-2477.513444789982,-2463.0321192481015,-14.481325541880324
11,00:00:55,307.95,306.15,1.7999999999999972,0.3799685892632876,100,0.01799999999999997,90,0,1,-2477.513444789982,-2463.0321192481015,-14.481325541880324
12,00:01:00,308.15,306.15,2.0,0.3799685892632876,100,0.02,90,0,1,-2479.122480961302,-2463.0321192481015,-16.09036171320031
