,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
0,300.54999999999995,0.0,300.4,0.14999999999999858,0.3799685892632876,0.0018749999999999821,-2417.979106451141,-2416.7723293226513,-1.206777128489648
1,300.75,0.5,300.4,0.3500000000000014,0.3799685892632876,0.004375000000000018,-2419.5881426224614,-2416.7723293226513,-2.815813299810088
2,301.15,1.0,300.65,0.5,0.3799685892632876,0.00625,-2422.8062149651014,-2418.7836245368017,-4.022590428299736
3,302.15,0.0,301.9,0.25,0.3799685892632876,0.003125,-2430.8513958217018,-2428.8401006075514,-2.011295214150323
4,302.34999999999997,1.5,300.9,1.4499999999999993,0.3799685892632876,0.018124999999999992,-2432.4604319930213,-2420.794919750951,-11.665512242070236
5,302.95,0.5,301.9,0.9166666666666679,0.3799685892632876,0.011458333333333348,-2437.2875405069813,-2428.8401006075514,-8.44743989942981
6,303.81666666666666,1.0,301.15,2.666666666666668,0.3799685892632876,0.03333333333333335,-2444.2600305827013,-2422.8062149651014,-21.453815617599957
7,303.95,2.0,301.15,2.8000000000000007,0.3799685892632876,0.03500000000000001,-2445.3327213635816,-2422.8062149651014,-22.52650639848025
8,304.15,0.75,301.65,2.333333333333334,0.3799685892632876,0.029166666666666674,-2446.941757534901,-2426.8288053934016,-20.11295214149959
9,304.4833333333333,0.0,301.15,3.333333333333332,0.3799685892632876,0.04166666666666665,-2449.623484487101,-2422.8062149651014,-26.817269521999606
10,305.4833333333333,1.5,301.9,3.5833333333333357,0.3799685892632876,0.044791666666666695,-2457.6686653437014,-2428.8401006075514,-28.82856473614993
11,305.75,2.0,301.9,3.5500000000000007,0.3799685892632876,0.04437500000000001,-2459.814046905462,-2428.840100607552,-30.973946297910288
12,306.4833333333333,2.0,302.15,4.333333333333336,0.3799685892632876,0.054166666666666696,-2465.7138462003013,-2430.8513958217018,-34.86245037859953
13,307.15,2.0,303.15,3.0,0.3799685892632876,0.0375,-2471.0773001047014,-2438.8965766783017,-32.18072342639971
14,307.4833333333333,2.5,302.15,5.333333333333336,0.3799685892632876,0.0666666666666667,-2473.7590270569012,-2430.8513958217018,-42.90763123519946
15,307.54999999999995,3.0,302.65,4.899999999999999,0.3799685892632876,0.061249999999999985,-2474.295372447342,-2434.8739862500015,-39.421386197340325
16,308.54999999999995,2.5,303.9,3.25,0.3799685892632876,0.040625,-2482.3405533039413,-2444.9304623207513,-37.41009098319
17,309.15,3.0,302.15,7.0,0.3799685892632876,0.0875,-2487.1676618179017,-2430.8513958217018,-56.316265996199945
18,309.54999999999995,3.5,303.15,6.399999999999999,0.3799685892632876,0.07999999999999999,-2490.3857341605412,-2438.8965766783017,-51.489157482239534
19,310.54999999999995,3.0,304.15,4.666666666666664,0.3799685892632876,0.058333333333333307,-2498.4309150171416,-2446.941757534901,-51.489157482240444
20,311.15,4.0,304.15,7.0,0.3799685892632876,0.0875,-2503.258023531102,-2446.941757534901,-56.316265996200855
