,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
117,58.5,364.75,340.15,16.33333333333333,1.0132495713687668,0.2041666666666666,39.915888434665604,37.22382303235505,2.692065402310554
118,59.0,364.34999999999997,343.4,14.083333333333329,1.0132495713687668,0.1760416666666666,39.87211501348982,37.57948207940827,2.2926329340815457
119,59.5,364.34999999999997,343.65,14.833333333333329,1.0622855177305341,0.18541666666666662,183.03290769904362,172.63416695698186,10.398740742061761
120,0.0,312.54999999999995,303.15,7.333333333333336,0.346638011257736,0.0916666666666667,-2753.0869300318354,-2670.287323113585,-82.79960691825045
121,0.5,314.75,304.15,8.0,0.3799685892632876,0.1,-2532.220674614862,-2446.941757534901,-85.27891707996105
122,1.0,316.75,304.9,9.25,0.3799685892632876,0.115625,-2548.311036328062,-2452.9756431773517,-95.33539315071039
123,1.5,318.75,305.65,10.166666666666664,0.4132991672688391,0.1270833333333333,-2341.573780160572,-2245.3396891171096,-96.23409104346229
124,2.0,320.75,306.65,10.833333333333336,0.4132991672688391,0.13541666666666669,-2356.266007800795,-2252.6858029372215,-103.58020486357327
125,2.5,321.75,308.15,9.333333333333336,0.4132991672688391,0.1166666666666667,-2363.6121216209067,-2263.704973667389,-99.90714795351778
126,3.0,323.34999999999997,308.4,10.083333333333336,0.4132991672688391,0.1260416666666667,-2375.365903733085,-2265.5415021224167,-109.82440161066825
127,3.5,325.15,308.9,11.583333333333336,0.4132991672688391,0.1447916666666667,-2388.5889086092857,-2269.2145590324726,-119.37434957681307
128,4.0,326.75,310.65,12.166666666666664,0.4132991672688391,0.1520833333333333,-2400.3426907214644,-2282.0702582176677,-118.27243250379661
129,4.5,328.15,311.9,13.25,0.44662974527439064,0.165625,-2199.029842600243,-2090.133804379143,-108.89603822109984
130,5.0,330.34999999999997,312.9,13.583333333333336,0.44662974527439064,0.1697916666666667,-2213.7726908517143,-2096.8350990389026,-116.93759181281166
131,5.5,331.75,313.4,14.416666666666664,0.44662974527439064,0.1802083333333333,-2223.1545033753787,-2100.185746368783,-122.96875700659575
132,6.0,333.34999999999997,313.9,14.916666666666664,0.44662974527439064,0.1864583333333333,-2233.8765748309943,-2103.536393698663,-130.3401811323315
133,6.5,334.75,314.65,15.5,0.4799603232799422,0.19375,-2042.9481128528273,-1920.2796824768993,-122.66843037592798
134,7.0,335.95,315.15,16.0,0.4799603232799422,0.2,-2050.2716012334795,-1923.3311359688378,-126.94046526464172
135,7.5,337.15,316.4,16.083333333333336,0.4799603232799422,0.2010416666666667,-2057.595089614132,-1930.959769698684,-126.63531991544801
136,8.0,337.75,316.9,16.25,0.4799603232799422,0.203125,-2061.2568338044584,-1934.0112231906228,-127.24561061383565
137,8.5,338.95,317.9,15.916666666666664,0.5132909012854937,0.1989583333333333,-1879.3797324677976,-1762.663569705009,-116.7161627627886
138,9.0,339.75,318.4,16.75,0.5132909012854937,0.209375,-1883.8155011238657,-1765.4359251150518,-118.37957600881396
139,9.5,340.75,319.15,16.666666666666664,0.5132909012854937,0.20833333333333331,-1889.3602119439506,-1769.5944582301152,-119.76575371383547
140,10.0,341.34999999999997,319.65,16.833333333333336,0.5132909012854937,0.2104166666666667,-1892.6870384360013,-1772.3668136401577,-120.32022479584361
141,10.5,342.15,320.65,16.83333333333333,0.5466214792910453,0.2104166666666666,-1718.1559310538917,-1610.1905576280296,-107.96537342586203
142,11.0,342.95,321.4,17.41666666666667,0.5466214792910453,0.2177083333333334,-1722.1732472743888,-1613.9567915847458,-108.216455689643
143,11.5,343.34999999999997,322.4,16.75,0.5799520572965968,0.209375,-1555.2206487662306,-1460.3265972396468,-94.89405152658378
144,12.0,344.34999999999997,323.4,16.08333333333333,0.5799520572965968,0.20104166666666662,-1559.7501977651127,-1464.856146238529,-94.89405152658378
145,12.5,344.95,324.15,16.0,0.5799520572965968,0.2,-1562.4679271644422,-1468.2533079876907,-94.21461917675151
146,13.0,345.75,324.9,15.916666666666671,0.6132826353021483,0.1989583333333334,-1405.459528538658,-1320.7051361452202,-84.75439239343791
147,13.5,346.95,325.65,16.16666666666667,0.6132826353021483,0.2020833333333334,-1410.3374791800068,-1323.7538552960634,-86.58362388394335
148,14.0,346.75,326.9,14.916666666666671,0.6132826353021483,0.1864583333333334,-1409.5244874064488,-1328.835053880802,-80.68943352564679
149,14.5,347.75,327.4,15.416666666666671,0.6132826353021483,0.1927083333333334,-1413.5894462742394,-1330.8675333146973,-82.72191295954212
150,15.0,348.34999999999997,328.65,14.5,0.6466132133076999,0.18125,-1262.755520398313,-1191.3437685629556,-71.41175183535734
151,15.5,348.95,328.9,15.25,0.6466132133076999,0.190625,-1264.9304976115727,-1192.2500090684805,-72.68048854309222
152,16.0,349.15,329.4,15.083333333333329,0.6466132133076999,0.1885416666666666,-1265.6554900159927,-1194.06249007953,-71.59299993646255
153,16.5,349.75,330.65,14.166666666666671,0.6799437913132514,0.1770833333333334,-1121.6780234239377,-1060.4226974842743,-61.25532593966341
154,17.0,349.95,331.15,14.0,0.6799437913132514,0.175,-1122.3194404494839,-1062.02624004814,-60.29320040134394
155,17.5,350.75,331.9,13.916666666666671,0.6799437913132514,0.17395833333333338,-1124.8851085516685,-1064.4315538939381,-60.453554657730365
156,18.0,351.15,332.4,13.75,0.6799437913132514,0.171875,-1126.167942602761,-1066.0350964578035,-60.13284614495751
