Time (Min),Condenser 1 (oC),Condenser 2 (oC),Condenser 3 (oC),Condenser 4 (oC),Tc - AVG 1&2 (oC),Evaporator 1 (oC),Evaporator 2 (oC),Evaporator 3 (oC),Evaporator 4 (oC),Evaporator 3 (oC),"Te - AVG 1,2,3 (oC)",Pressure (mm of Hg),Pressure (mm of Hg),Te - Tc (oC),Q (W),Resistance (oC/W)
0,29,29,28,29,28.75,29,29,29,29,29,29.00,-475.00,285,0.25,80,0.003125
0.5,29,29,28,29,28.75,29,30,30,30,30,29.67,-475.00,285,0.92,80,0.011458
1,29,29,29,29,29.00,30,31,31,32,31,30.67,-475.00,285,1.67,80,0.020833
1.5,29,29,29,29,29.00,31,33,33,34,32,32.00,-475.00,285,3.00,80,0.037500
2,30,30,30,30,30.00,31,35,35,36,33,33.00,-475.00,285,3.00,80,0.037500
2.5,31,31,30,31,30.75,32,37,37,38,33,34.00,-475.00,285,3.25,80,0.040625
3,31,31,31,31,31.00,33,39,40,40,35,35.67,-475.00,285,4.67,80,0.058333
3.5,32,32,32,32,32.00,35,41,42,43,37,37.67,-475.00,285,5.67,80,0.070833
4,33,33,33,33,33.00,36,43,45,45,39,39.33,-475.00,285,6.33,80,0.079167
4.5,33,34,33,34,33.50,37,45,47,46,40,40.67,-475.00,285,7.17,80,0.089583
5,34,35,35,35,34.75,39,48,49,48,42,43.00,-475.00,285,8.25,80,0.103125
5.5,35,36,35,36,35.50,40,50,51,50,43,44.33,-475.00,285,8.83,80,0.110417
6,35,37,36,37,36.25,41,52,53,52,45,46.00,-475.00,285,9.75,80,0.121875
6.5,36,38,37,37,37.00,43,53,55,55,46,47.33,-475.00,285,10.33,80,0.129167
7,37,39,38,39,38.25,44,55,57,57,47,48.67,-450.00,310,10.42,80,0.130208
7.5,37,40,39,39,38.75,45,57,58,59,49,50.33,-450.00,310,11.58,80,0.144792
8,38,40,40,40,39.50,46,59,60,60,50,51.67,-450.00,310,12.17,80,0.152083
8.5,39,41,41,41,40.50,47,60,62,62,51,52.67,-450.00,310,12.17,80,0.152083
9,39,42,41,42,41.00,48,62,63,62,53,54.33,-425.00,335,13.33,80,0.166667
9.5,40,43,42,43,42.00,49,63,65,64,54,55.33,-425.00,335,13.33,80,0.166667
10,40,44,43,44,42.75,50,65,66,66,55,56.67,-425.00,335,13.92,80,0.173958
10.5,41,44,44,45,43.50,51,66,68,67,56,57.67,-400.00,360,14.17,80,0.177083
11,41,45,45,45,44.00,51,67,69,68,57,58.33,-400.00,360,14.33,80,0.179167
11.5,42,46,45,46,44.75,52,69,71,70,59,60.00,-400.00,360,15.25,80,0.190625
12,42,46,45,46,44.75,53,70,72,71,59,60.67,-400.00,360,15.92,80,0.198958
12.5,43,47,46,47,45.75,54,71,73,72,60,61.67,-375.00,385,15.92,80,0.198958
13,43,48,47,48,46.50,55,72,75,73,61,62.67,-375.00,385,16.17,80,0.202083
13.5,44,48,47,48,46.75,55,73,75,74,62,63.33,-350.00,410,16.58,80,0.207292
