,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
51,25.5,355.15,332.65,17.83333333333333,0.8132661033354576,0.2229166666666666,-610.3175083895082,-571.651750431564,-38.665757957944265,Al2O3 DI Water 60,60
52,26.0,354.95,332.65,17.5,0.8132661033354576,0.21875,-609.9738127632154,-571.651750431564,-38.32206233165141,Al2O3 DI Water 60,60
53,26.5,355.35,332.9,17.58333333333333,0.8132661033354576,0.2197916666666666,-610.6612040158011,-572.08136996443,-38.57983405137111,Al2O3 DI Water 60,60
54,27.0,355.35,333.15,17.33333333333333,0.8132661033354576,0.2166666666666666,-610.6612040158011,-572.510989497296,-38.150214518505095,Al2O3 DI Water 60,60
55,27.5,355.75,333.15,17.66666666666667,0.8132661033354576,0.2208333333333333,-611.3485952683868,-572.510989497296,-38.83760577109081,Al2O3 DI Water 60,60
56,28.0,356.15,333.4,17.75,0.8132661033354576,0.221875,-612.0359865209724,-572.9406090301621,-39.09537749081028,Al2O3 DI Water 60,60
57,28.5,356.54999999999995,333.65,17.83333333333333,0.8132661033354576,0.2229166666666666,-612.7233777735581,-573.370228563028,-39.35314921053009,Al2O3 DI Water 60,60
58,29.0,356.75,333.9,17.91666666666667,0.8132661033354576,0.2239583333333334,-613.067073399851,-573.7998480958942,-39.26722530395682,Al2O3 DI Water 60,60
59,29.5,356.95,334.15,18.0,0.8132661033354576,0.225,-613.4107690261438,-574.2294676287602,-39.18130139738366,Al2O3 DI Water 60,60
60,30.0,356.95,334.9,16.91666666666667,0.8465966813410092,0.2114583333333334,-494.2107179368063,-463.6816625214636,-30.529055415342725,Al2O3 DI Water 60,60
61,30.5,357.54999999999995,334.9,17.58333333333333,0.8465966813410092,0.2197916666666666,-495.0414405331421,-463.6816625214636,-31.359778011678543,Al2O3 DI Water 60,60
62,31.0,357.75,334.9,17.91666666666667,0.8465966813410092,0.2239583333333334,-495.31834806525416,-463.6816625214636,-31.636685543790577,Al2O3 DI Water 60,60
63,31.5,358.15,335.15,18.0,0.8465966813410092,0.225,-495.872163129478,-464.02779693660347,-31.84436619287453,Al2O3 DI Water 60,60
64,32.0,358.35,335.4,18.08333333333333,0.8465966813410092,0.2260416666666666,-496.14907066159,-464.3739313517434,-31.77513930984657,Al2O3 DI Water 60,60
65,32.5,358.35,335.15,18.33333333333333,0.8465966813410092,0.2291666666666666,-496.14907066159,-464.02779693660347,-32.12127372498651,Al2O3 DI Water 60,60
66,33.0,358.54999999999995,335.15,18.66666666666667,0.8465966813410092,0.2333333333333334,-496.4259781937018,-464.02779693660347,-32.39818125709837,Al2O3 DI Water 60,60
