,Te - AVG (oC),Time (Min),Tc - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Resistance (oC/W)
2,28.333333333333332,0.7637626158259734,0.28867513459481237,0.0,0.2886751345948129,0.00360843918243516
5,30.0,0.3535533905932738,0.0,0.0,0.0,0.0
16,37.0,0.2886751345948129,2.362907813126305,50.0,2.3629078131263044,0.029536347664078796
24,43.0,0.3535533905932738,2.8284271247461903,35.35533905932738,2.8284271247461903,0.03535533905932737
53,60.0,0.3535533905932738,1.2374368670764582,35.35533905932738,1.2374368670764582,0.015467960838455721
57,63.0,0.3535533905932738,0.7071067811865476,35.35533905932738,0.7071067811865476,0.008838834764831823
62,65.4,0.3535533905932738,0.8838834764831844,35.35533905932738,0.8838834764831844,0.011048543456039806
77,71.0,1.0606601717798212,5.480077554195743,35.35533905932738,5.480077554195743,0.06850096942744677
81,72.2,0.7071067811865476,0.3535533905932738,459.6194077712559,0.3535533905932738,0.004419417382415926
82,73.0,0.7071067811865476,4.949747468305833,70.71067811865476,4.949747468305833,0.061871843353822925
84,73.6,0.7071067811865476,0.8838834764831844,441.9417382415922,0.8838834764831844,0.011048543456039806
86,74.2,0.7071067811865476,0.8838834764831844,441.9417382415922,0.8838834764831844,0.011048543456039806
87,74.33333333333333,0.3535533905932738,0.3535533905932738,0.0,0.3535533905932738,0.004419417382415906
92,76.0,0.7071067811865476,2.1213203435596424,35.35533905932738,2.1213203435596424,0.026516504294495535
99,77.4,0.3535533905932738,0.7071067811865476,17.67766952966369,0.7071067811865476,0.008838834764831832
101,78.0,2.8284271247461903,5.126524163602469,17.67766952966369,5.126524163602469,0.06408155204503085
104,78.8,1.0606601717798212,2.2980970388562794,53.033008588991066,2.2980970388562794,0.0287262129857035
106,79.2,1.0606601717798212,2.1213203435596424,35.35533905932738,2.1213203435596424,0.026516504294495525
111,80.0,1.4142135623730951,7.601397897755386,70.71067811865476,7.601397897755386,0.09501747372194232
113,80.6,2.1213203435596424,0.7071067811865476,53.033008588991066,0.7071067811865476,0.008838834764831842
114,80.8,2.1213203435596424,0.3535533905932738,53.033008588991066,0.3535533905932738,0.004419417382415906
116,81.2,2.1213203435596424,0.5303300858899106,53.033008588991066,0.5303300858899106,0.006629126073623869
119,81.8,0.3535533905932738,0.1767766952966369,0.0,0.1767766952966369,0.0022097086912079827
120,82.0,0.7071067811865476,1.2374368670764582,17.67766952966369,1.2374368670764582,0.01546796083845577
123,82.4,0.3535533905932738,0.1767766952966369,0.0,0.1767766952966369,0.002209708691207953
125,82.8,3.0413812651491097,0.5773502691896247,43.30127018922193,0.5773502691896255,0.007216878364870312
126,83.0,0.7071067811865476,0.0,17.67766952966369,0.0,0.0
127,83.33333333333333,1.4142135623730951,4.772970773009196,35.35533905932738,4.772970773009196,0.059662134662614934
