,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,300.47999999999996,0.25,299.025,1.455,1.0132495713687668,0.018229500000000003,32.88259398724693,32.723368167720025,0.15922581952689896
1,302.82,1.0,299.15,3.67,1.0132495713687668,0.045833,33.13866850112526,32.73704736183746,0.40162113928779775
2,303.82,1.5,299.9,3.92,1.0132495713687668,0.048958,33.24810205406471,32.81912252654205,0.42897952752265667
3,305.47999999999996,2.0,299.9,5.58,1.0132495713687668,0.069792,33.4297617519442,32.81912252654205,0.6106392254021458
4,308.15,2.5,299.9,8.25,1.0132495713687668,0.103125,33.721949338292546,32.81912252654205,0.9028268117504936
5,312.47999999999996,3.0,300.9,11.58,1.0132495713687668,0.144792,34.19579662252037,32.9285560794815,1.2672405430388665
6,313.82,3.5,301.9,11.92,1.0132495713687668,0.148958,34.342437583459244,33.03798963242096,1.3044479510382843
7,315.15,4.0,302.4,12.75,1.0625788268169831,0.159375,159.04041538881467,152.6061291879345,6.434286200880166
8,316.15,4.5,302.15,14.0,1.0625788268169831,0.175,159.54506528692292,152.47996671340744,7.065098573515485
9,318.82,5.0,302.9,15.92,1.0625788268169831,0.198958,160.89248051487195,152.85845413698863,8.034026377883322
10,320.15,5.5,303.4,16.75,1.0625788268169831,0.209375,161.5636648793559,153.11077908604275,8.452885793313158
11,322.15,6.0,304.9,17.25,1.0625788268169831,0.215625,162.57296467557242,153.86775393320514,8.705210742367285
12,323.15,6.5,305.15,18.0,1.0625788268169831,0.225,163.07761457368065,153.9939164077322,9.083698165948448
13,324.15,7.0,305.65,18.5,1.0625788268169831,0.23125,163.58226447178893,154.2462413567863,9.336023115002632
14,326.15,7.5,306.15,20.0,1.1119080822651994,0.25,287.64101480026767,270.0024426831273,17.63857211714037
15,327.82,8.0,307.15,20.67,1.1119080822651994,0.258333,289.11383557204897,270.8843712889843,18.229464283064658
16,329.15,8.5,307.65,21.5,1.1119080822651994,0.26875,290.28680061783876,271.3253355919128,18.961465025925975
17,330.47999999999996,9.0,307.9,22.58,1.1119080822651994,0.282292,291.4597656636286,271.5458177433771,19.91394792025153
18,332.15,9.5,308.4,23.75,1.1119080822651994,0.296875,292.9325864354098,271.98678204630556,20.94580438910424
19,332.82,10.0,309.4,23.42,1.1119080822651994,0.292708,293.52347860133403,272.86871065216263,20.6547679491714
