,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,300.47999999999996,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.0,0.002209708691207962,0.0,0.01934530184321054,0.019345301843208026
48,358.82,0.7071067811865476,0.1767766952966369,0.1767766952966369,0.0,0.0022097086912079727,0.0,0.4474662856341566,0.4474662856341566
51,361.15,0.3535533905932738,0.5303300858899106,0.5303300858899106,0.0,0.00662912607362384,0.0,1.4999618128654355,1.4999618128654757
53,362.47999999999996,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,363.82,5.303300858899107,5.480077554195743,5.480077554195743,0.0697621020766344,0.06850096942744681,145.12931489292535,148.49425546090671,3.364940567981533
57,364.15,5.65022123460666,5.345558904361633,5.345558904361639,0.08764661926413266,0.06681948630452046,176.77564711656257,178.76972105831868,2.1362188035354666
58,364.47999999999996,7.653975002136689,6.644233088425878,6.6442330884258824,0.11315129892045596,0.08305291360532353,228.42319333808203,229.7618904924495,1.513001226515574
60,365.15,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.03393831992917354,0.008838834764831832,65.3307436562299,62.82026541331385,2.51047824291605
62,365.82,3.3509948771471842,2.115173357749505,2.11517335774951,0.0,0.026439666971868864,0.0,5.982461392682915,5.982461392682899
63,366.15,4.213074886588179,5.503786575319456,5.503786575319456,0.0979918993363216,0.06879733219149317,198.7266751005991,198.81518782572275,0.5839547701471774
67,367.47999999999996,1.0606601717798212,1.0606601717798212,1.0606601717798212,0.034881051038317124,0.013258252147247778,63.62083227966696,63.39466030650137,0.22617197316543125
69,368.15,5.656854249492381,8.131727983645296,8.131727983645296,0.20834357512075946,0.10164659979556619,411.98482064468976,402.5312681150205,9.453552529669382
70,368.47999999999996,5.107184482014854,7.1545440106270926,7.1545440106270926,0.17011181674435893,0.08943180013283868,336.685723418619,331.4665062770484,5.327559138948821
71,368.82,1.7677669529663689,1.4142135623730951,1.4142135623730951,0.0,0.017677669529663705,0.0,6.238033822372597,6.238033822372597
73,369.47999999999996,4.767511580129268,6.935716737776036,6.935716737776036,0.1473211547845379,0.08669645922220047,292.3696900214032,290.3810208828324,3.0206636854470936
