,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W]
84,42.0,366.47999999999996,336.65,29.83,1.601200967386696,0.372917
85,42.5,365.15,336.65,28.5,1.601200967386696,0.35625
86,43.0,364.15,337.15,27.0,1.601200967386696,0.3375
87,43.5,366.82,337.15,29.67,1.601200967386696,0.370833
88,44.0,366.15,337.65,28.5,1.601200967386696,0.35625
89,44.5,364.47999999999996,336.65,27.83,1.601200967386696,0.347917
90,45.0,367.47999999999996,339.15,28.33,1.6505302228349124,0.354167
91,45.5,368.15,339.15,29.0,1.6998594782831287,0.3625
92,46.0,367.15,338.9,28.25,1.6998594782831287,0.353125
93,46.5,367.47999999999996,340.65,26.83,1.6998594782831287,0.335417
94,47.0,368.82,340.4,28.42,1.6998594782831287,0.355208
95,47.5,368.47999999999996,340.65,27.83,1.6998594782831287,0.347917
96,48.0,369.47999999999996,341.65,27.83,1.6998594782831287,0.347917
97,48.5,369.47999999999996,342.15,27.33,1.6998594782831287,0.341667
98,49.0,369.47999999999996,342.9,26.58,1.6998594782831287,0.332292
99,49.5,368.82,342.4,26.42,1.6998594782831287,0.330208
100,50.0,369.82,343.15,26.67,1.6998594782831287,0.333333
