,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
45,22.5,355.47999999999996,320.65,34.83,1.3078918809378424,0.435417,793.2946877060411,715.5675188841626,77.72716882187854
46,23.0,356.15,320.9,35.25,1.3078918809378424,0.440625,794.789870109448,716.1254227660309,78.66444734341712
47,23.5,357.15,320.9,36.25,1.3078918809378424,0.453125,797.0214856369209,716.1254227660309,80.89606287089009
48,24.0,357.47999999999996,321.4,36.08,1.3558879132658366,0.451042,904.8718074522128,813.5442511892727,91.3275562629401
49,24.5,358.82,321.9,36.92,1.3558879132658366,0.461458,908.263684541801,814.8098769689697,93.45380757283135
50,25.0,359.47999999999996,322.4,37.08,1.3558879132658366,0.463542,909.9343105710011,816.0755027486667,93.85880782233437
51,25.5,358.82,322.15,36.67,1.3558879132658366,0.458333,908.263684541801,815.4426898588182,92.82099468298281
52,26.0,359.82,322.9,36.92,1.4052171687140529,0.461458,1017.6987387007711,913.2758677296398,104.42287097113126
53,26.5,361.15,323.4,37.75,1.4052171687140529,0.471875,1021.460451008236,914.690045288837,106.77040571939892
54,27.0,361.15,324.15,37.0,1.4052171687140529,0.4625,1021.460451008236,916.8113116276331,104.64913938060283
55,27.5,361.82,323.9,37.92,1.4052171687140529,0.473958,1023.3554489375604,916.1042228480344,107.25122608952597
56,28.0,362.47999999999996,324.4,38.08,1.4052171687140529,0.476042,1025.2221633157008,917.5184004072318,107.703762908469
57,28.5,362.47999999999996,324.4,38.08,1.4052171687140529,0.476042,1025.2221633157008,917.5184004072318,107.703762908469
58,29.0,362.82,323.9,38.92,1.4052171687140529,0.486458,1026.183804055955,916.1042228480344,110.07958120792068
59,29.5,364.15,325.15,39.0,1.4052171687140529,0.4875,1029.94551636342,919.6396667460277,110.30584961739225
60,30.0,364.15,325.15,39.0,1.4052171687140529,0.4875,1029.94551636342,919.6396667460277,110.30584961739225
61,30.5,364.15,324.9,39.25,1.4052171687140529,0.490625,1029.94551636342,918.932577966429,111.01293839699099
62,31.0,364.47999999999996,324.9,39.58,1.4052171687140529,0.494792,1030.8788735524902,918.932577966429,111.94629558606118
63,31.5,364.47999999999996,325.4,39.08,1.4052171687140529,0.488542,1030.8788735524902,920.3467555256263,110.53211802686383
64,32.0,365.82,328.15,37.67,1.4052171687140529,0.470833,1034.668869411139,928.1247321012117,106.54413730992724
65,32.5,364.15,325.65,38.5,1.4052171687140529,0.48125,1029.94551636342,921.0538443052251,108.8916720581949
66,33.0,363.82,325.65,38.17,1.4052171687140529,0.477083,1029.0121591743498,921.0538443052251,107.9583148691247
67,33.5,365.47999999999996,325.9,39.58,1.4052171687140529,0.494792,1033.707228670885,921.7609330848238,111.94629558606107
68,34.0,364.82,326.15,38.67,1.4052171687140529,0.483333,1031.8405142927445,922.4680218644223,109.37249242832218
69,34.5,365.82,325.4,40.42,1.4052171687140529,0.505208,1034.668869411139,920.3467555256263,114.32211388551264
70,35.0,366.15,326.4,39.75,1.4052171687140529,0.496875,1035.6022266002094,923.1751106440211,112.42711595618835
71,35.5,366.15,326.65,39.5,1.4052171687140529,0.49375,1035.6022266002094,923.8821994236197,111.72002717658972
72,36.0,365.82,326.9,38.92,1.4052171687140529,0.486458,1034.668869411139,924.5892882032184,110.07958120792057
73,36.5,366.15,326.9,39.25,1.4052171687140529,0.490625,1035.6022266002094,924.5892882032184,111.01293839699099
74,37.0,367.82,326.9,40.92,1.4052171687140529,0.511458,1040.3255796479284,924.5892882032184,115.73629144470999
75,37.5,368.15,327.65,40.5,1.4052171687140529,0.50625,1041.2589368369986,926.7105545420143,114.54838229498432
76,38.0,368.47999999999996,327.9,40.58,1.4052171687140529,0.507292,1042.192294026069,927.417643321613,114.77465070445601
77,38.5,369.15,327.65,41.5,1.4052171687140529,0.51875,1044.0872919553933,926.7105545420143,117.37673741337903
78,39.0,369.47999999999996,328.4,41.08,1.4052171687140529,0.513542,1045.0206491444635,928.8318208808104,116.18882826365314
79,39.5,368.47999999999996,328.65,39.83,1.4052171687140529,0.497917,1042.192294026069,929.5389096604091,112.65338436565992
80,40.0,365.82,330.4,35.42,1.4052171687140529,0.442708,1034.668869411139,934.4885311175998,100.1803382935392
81,40.5,363.82,333.4,30.42,1.5038756796104855,0.380208,1234.2560045938403,1131.0564343125345,103.1995702813058
82,41.0,363.15,335.65,27.5,1.5038756796104855,0.34375,1231.9830357546398,1138.6895386232818,93.29349713135798
83,41.5,365.15,335.65,29.5,1.5532049350587018,0.36875,1336.7501047234277,1228.7557788591496,107.99432586427815
84,42.0,366.47999999999996,336.65,29.83,1.601200967386696,0.372917,1434.347146760016,1317.5970501985355,116.7500965614804
85,42.5,365.15,336.65,28.5,1.601200967386696,0.35625,1429.141728441988,1317.5970501985355,111.54467824345261
86,43.0,364.15,337.15,27.0,1.601200967386696,0.3375,1425.2278800825686,1319.5539743782454,105.67390570432326
87,43.5,366.82,337.15,29.67,1.601200967386696,0.370833,1435.6778552022186,1319.5539743782454,116.1238808239732
88,44.0,366.15,337.65,28.5,1.601200967386696,0.35625,1433.0555768014076,1321.510898557955,111.54467824345261
89,44.5,364.47999999999996,336.65,27.83,1.601200967386696,0.347917,1426.519450041177,1317.5970501985355,108.92239984264143
90,45.0,367.47999999999996,339.15,28.33,1.6505302228349124,0.354167,1530.9646732937597,1412.9385788276331,118.02609446612655
91,45.5,368.15,339.15,29.0,1.6998594782831287,0.3625,1623.893457684566,1495.9757331895169,127.91772449504924
92,46.0,367.15,338.9,28.25,1.6998594782831287,0.353125,1619.4825016674954,1494.8729941852491,124.60950748224627
93,46.5,367.47999999999996,340.65,26.83,1.6998594782831287,0.335417,1620.9381171531286,1502.5921672151228,118.34594993800579
94,47.0,368.82,340.4,28.42,1.6998594782831287,0.355208,1626.8487982160034,1501.489428210855,125.35937000514832
95,47.5,368.47999999999996,340.65,27.83,1.6998594782831287,0.347917,1625.3490731701995,1502.5921672151228,122.75690595507672
96,48.0,369.47999999999996,341.65,27.83,1.6998594782831287,0.347917,1629.76002918727,1507.0031232321935,122.75690595507649
97,48.5,369.47999999999996,342.15,27.33,1.6998594782831287,0.341667,1629.76002918727,1509.2086012407287,120.55142794654125
98,49.0,369.47999999999996,342.9,26.58,1.6998594782831287,0.332292,1629.76002918727,1512.5168182535317,117.24321093373828
99,49.5,368.82,342.4,26.42,1.6998594782831287,0.330208,1626.8487982160034,1510.3113402449965,116.53745797100692
100,50.0,369.82,343.15,26.67,1.6998594782831287,0.333333,1631.2597542330743,1513.6195572577994,117.64019697527488
