,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,0.0,300.47999999999996,298.9,1.58,1.0132495713687668,0.019792,32.88259398724693,32.709688973602596,0.17290501364433197
1,0.5,300.47999999999996,299.15,1.33,1.0132495713687668,0.016667,32.88259398724693,32.73704736183746,0.14554662540946595
2,1.0,302.82,299.15,3.67,1.0132495713687668,0.045833,33.13866850112526,32.73704736183746,0.40162113928779775
3,1.5,303.82,299.9,3.92,1.0132495713687668,0.048958,33.24810205406471,32.81912252654205,0.42897952752265667
4,2.0,305.47999999999996,299.9,5.58,1.0132495713687668,0.069792,33.4297617519442,32.81912252654205,0.6106392254021458
5,2.5,308.15,299.9,8.25,1.0132495713687668,0.103125,33.721949338292546,32.81912252654205,0.9028268117504936
6,3.0,312.47999999999996,300.9,11.58,1.0132495713687668,0.144792,34.19579662252037,32.9285560794815,1.2672405430388665
7,3.5,313.82,301.9,11.92,1.0132495713687668,0.148958,34.342437583459244,33.03798963242096,1.3044479510382843
8,4.0,315.15,302.4,12.75,1.0625788268169831,0.159375,159.04041538881467,152.6061291879345,6.434286200880166
9,4.5,316.15,302.15,14.0,1.0625788268169831,0.175,159.54506528692292,152.47996671340744,7.065098573515485
10,5.0,318.82,302.9,15.92,1.0625788268169831,0.198958,160.89248051487195,152.85845413698863,8.034026377883322
11,5.5,320.15,303.4,16.75,1.0625788268169831,0.209375,161.5636648793559,153.11077908604275,8.452885793313158
12,6.0,322.15,304.9,17.25,1.0625788268169831,0.215625,162.57296467557242,153.86775393320514,8.705210742367285
13,6.5,323.15,305.15,18.0,1.0625788268169831,0.225,163.07761457368065,153.9939164077322,9.083698165948448
14,7.0,324.15,305.65,18.5,1.0625788268169831,0.23125,163.58226447178893,154.2462413567863,9.336023115002632
15,7.5,326.15,306.15,20.0,1.1119080822651994,0.25,287.64101480026767,270.0024426831273,17.63857211714037
16,8.0,327.82,307.15,20.67,1.1119080822651994,0.258333,289.11383557204897,270.8843712889843,18.229464283064658
17,8.5,329.15,307.65,21.5,1.1119080822651994,0.26875,290.28680061783876,271.3253355919128,18.961465025925975
18,9.0,330.47999999999996,307.9,22.58,1.1119080822651994,0.282292,291.4597656636286,271.5458177433771,19.91394792025153
19,9.5,332.15,308.4,23.75,1.1119080822651994,0.296875,292.9325864354098,271.98678204630556,20.94580438910424
20,10.0,332.82,309.4,23.42,1.1119080822651994,0.292708,293.52347860133403,272.86871065216263,20.6547679491714
21,10.5,333.82,309.4,24.42,1.1119080822651994,0.305208,294.4054072071911,272.86871065216263,21.53669655502847
22,11.0,334.82,310.15,24.67,1.1119080822651994,0.308333,295.2873358130481,273.53015710655535,21.757178706492766
23,11.5,335.82,310.65,25.17,1.1599041145931936,0.314583,414.15896805963087,383.11739452005344,31.041573539577428
24,12.0,337.47999999999996,310.9,26.58,1.1599041145931936,0.332292,416.2062073157174,383.4257136851267,32.78049363059068
25,12.5,338.47999999999996,311.65,26.83,1.1599041145931936,0.335417,417.43948397601054,384.3506711803465,33.08881279566401
26,13.0,339.15,312.15,27.0,1.1599041145931936,0.3375,418.26577933840696,384.96730951049307,33.29846982791389
27,13.5,339.82,312.65,27.17,1.1599041145931936,0.339583,419.0920747008034,385.58394784063967,33.50812686016371
28,14.0,341.82,312.65,29.17,1.1599041145931936,0.364583,421.55862802138955,385.58394784063967,35.974680180749885
29,14.5,342.47999999999996,313.4,29.08,1.20923337004141,0.363542,540.963745930921,495.03047761840304,45.93326831251801
30,15.0,343.82,313.65,30.17,1.20923337004141,0.377083,543.080340825652,495.4253647256289,47.65497610002308
31,15.5,345.15,314.65,30.5,1.20923337004141,0.38125,545.1811402360938,497.0049131545326,48.17622708156125
32,16.0,345.82,315.15,30.67,1.20923337004141,0.383333,546.2394376834593,497.7946873689844,48.4447503144749
33,16.5,347.47999999999996,315.65,31.83,1.20923337004141,0.397917,548.8614880754393,498.5844615834363,50.27702649200302
34,17.0,348.15,316.4,31.75,1.20923337004141,0.396875,549.9197855228048,499.769122905114,50.150662617690784
35,17.5,348.82,316.4,32.42,1.20923337004141,0.405208,550.9780829701702,499.769122905114,51.20896006505626
36,18.0,349.47999999999996,316.65,32.83,1.20923337004141,0.410417,552.0205849332466,500.1640100123399,51.85657492090672
37,18.5,349.82,317.4,32.42,1.2585626254896263,0.405208,668.8464102451167,606.8602441592819,61.986166085834725
38,19.0,350.82,317.9,32.92,1.2585626254896263,0.411458,670.7583832890966,607.816230681272,62.942152607824596
39,19.5,351.82,318.4,33.42,1.2585626254896263,0.417708,672.6703563330768,608.772217203262,63.89813912981481
40,20.0,352.15,318.65,33.5,1.2585626254896263,0.41875,673.3013074375903,609.250210464257,64.0510969733333
41,20.5,352.82,318.9,33.92,1.3078918809378424,0.423958,787.3585904029636,711.6621917110851,75.69639869187847
42,21.0,353.15,319.4,33.75,1.3078918809378424,0.421875,788.0950235270295,712.7779994748216,75.3170240522079
43,21.5,353.82,322.4,31.42,1.3078918809378424,0.392708,789.5902059304364,719.4728460572401,70.11735987319628
44,22.0,355.15,322.4,32.75,1.3078918809378424,0.409375,792.5582545819752,719.4728460572401,73.08540852473516
