,Time (Min),Tc - AVG (oC),Te - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Q (W),Resistance (oC/W)
0,0.0,25.75,27.33,760.0,1.58,80,0.019792
1,0.5,26.0,27.33,760.0,1.33,80,0.016667
2,1.0,26.0,29.67,760.0,3.67,80,0.045833
3,1.5,26.75,30.67,760.0,3.92,80,0.048958
4,2.0,26.75,32.33,760.0,5.58,80,0.069792
5,2.5,26.75,35.0,760.0,8.25,80,0.103125
6,3.0,27.75,39.33,760.0,11.58,80,0.144792
7,3.5,28.75,40.67,760.0,11.92,80,0.148958
8,4.0,29.25,42.0,797.0,12.75,80,0.159375
9,4.5,29.0,43.0,797.0,14.0,80,0.175
10,5.0,29.75,45.67,797.0,15.92,80,0.198958
11,5.5,30.25,47.0,797.0,16.75,80,0.209375
12,6.0,31.75,49.0,797.0,17.25,80,0.215625
13,6.5,32.0,50.0,797.0,18.0,80,0.225
14,7.0,32.5,51.0,797.0,18.5,80,0.23125
15,7.5,33.0,53.0,834.0,20.0,80,0.25
16,8.0,34.0,54.67,834.0,20.67,80,0.258333
17,8.5,34.5,56.0,834.0,21.5,80,0.26875
18,9.0,34.75,57.33,834.0,22.58,80,0.282292
19,9.5,35.25,59.0,834.0,23.75,80,0.296875
20,10.0,36.25,59.67,834.0,23.42,80,0.292708
21,10.5,36.25,60.67,834.0,24.42,80,0.305208
22,11.0,37.0,61.67,834.0,24.67,80,0.308333
23,11.5,37.5,62.67,870.0,25.17,80,0.314583
24,12.0,37.75,64.33,870.0,26.58,80,0.332292
25,12.5,38.5,65.33,870.0,26.83,80,0.335417
26,13.0,39.0,66.0,870.0,27.0,80,0.3375
27,13.5,39.5,66.67,870.0,27.17,80,0.339583
28,14.0,39.5,68.67,870.0,29.17,80,0.364583
29,14.5,40.25,69.33,907.0,29.08,80,0.363542
30,15.0,40.5,70.67,907.0,30.17,80,0.377083
31,15.5,41.5,72.0,907.0,30.5,80,0.38125
32,16.0,42.0,72.67,907.0,30.67,80,0.383333
33,16.5,42.5,74.33,907.0,31.83,80,0.397917
34,17.0,43.25,75.0,907.0,31.75,80,0.396875
35,17.5,43.25,75.67,907.0,32.42,80,0.405208
36,18.0,43.5,76.33,907.0,32.83,80,0.410417
37,18.5,44.25,76.67,944.0,32.42,80,0.405208
38,19.0,44.75,77.67,944.0,32.92,80,0.411458
39,19.5,45.25,78.67,944.0,33.42,80,0.417708
40,20.0,45.5,79.0,944.0,33.5,80,0.41875
41,20.5,45.75,79.67,981.0,33.92,80,0.423958
42,21.0,46.25,80.0,981.0,33.75,80,0.421875
43,21.5,49.25,80.67,981.0,31.42,80,0.392708
44,22.0,49.25,82.0,981.0,32.75,80,0.409375
45,22.5,47.5,82.33,981.0,34.83,80,0.435417
46,23.0,47.75,83.0,981.0,35.25,80,0.440625
47,23.5,47.75,84.0,981.0,36.25,80,0.453125
48,24.0,48.25,84.33,1017.0,36.08,80,0.451042
49,24.5,48.75,85.67,1017.0,36.92,80,0.461458
50,25.0,49.25,86.33,1017.0,37.08,80,0.463542
51,25.5,49.0,85.67,1017.0,36.67,80,0.458333
52,26.0,49.75,86.67,1054.0,36.92,80,0.461458
53,26.5,50.25,88.0,1054.0,37.75,80,0.471875
54,27.0,51.0,88.0,1054.0,37.0,80,0.4625
55,27.5,50.75,88.67,1054.0,37.92,80,0.473958
56,28.0,51.25,89.33,1054.0,38.08,80,0.476042
57,28.5,51.25,89.33,1054.0,38.08,80,0.476042
58,29.0,50.75,89.67,1054.0,38.92,80,0.486458
59,29.5,52.0,91.0,1054.0,39.0,80,0.4875
60,30.0,52.0,91.0,1054.0,39.0,80,0.4875
61,30.5,51.75,91.0,1054.0,39.25,80,0.490625
62,31.0,51.75,91.33,1054.0,39.58,80,0.494792
63,31.5,52.25,91.33,1054.0,39.08,80,0.488542
64,32.0,55.0,92.67,1054.0,37.67,80,0.470833
65,32.5,52.5,91.0,1054.0,38.5,80,0.48125
66,33.0,52.5,90.67,1054.0,38.17,80,0.477083
67,33.5,52.75,92.33,1054.0,39.58,80,0.494792
68,34.0,53.0,91.67,1054.0,38.67,80,0.483333
69,34.5,52.25,92.67,1054.0,40.42,80,0.505208
70,35.0,53.25,93.0,1054.0,39.75,80,0.496875
71,35.5,53.5,93.0,1054.0,39.5,80,0.49375
72,36.0,53.75,92.67,1054.0,38.92,80,0.486458
73,36.5,53.75,93.0,1054.0,39.25,80,0.490625
74,37.0,53.75,94.67,1054.0,40.92,80,0.511458
75,37.5,54.5,95.0,1054.0,40.5,80,0.50625
76,38.0,54.75,95.33,1054.0,40.58,80,0.507292
77,38.5,54.5,96.0,1054.0,41.5,80,0.51875
78,39.0,55.25,96.33,1054.0,41.08,80,0.513542
79,39.5,55.5,95.33,1054.0,39.83,80,0.497917
80,40.0,57.25,92.67,1054.0,35.42,80,0.442708
81,40.5,60.25,90.67,1128.0,30.42,80,0.380208
82,41.0,62.5,90.0,1128.0,27.5,80,0.34375
83,41.5,62.5,92.0,1165.0,29.5,80,0.36875
84,42.0,63.5,93.33,1201.0,29.83,80,0.372917
85,42.5,63.5,92.0,1201.0,28.5,80,0.35625
86,43.0,64.0,91.0,1201.0,27.0,80,0.3375
87,43.5,64.0,93.67,1201.0,29.67,80,0.370833
88,44.0,64.5,93.0,1201.0,28.5,80,0.35625
89,44.5,63.5,91.33,1201.0,27.83,80,0.347917
90,45.0,66.0,94.33,1238.0,28.33,80,0.354167
91,45.5,66.0,95.0,1275.0,29.0,80,0.3625
92,46.0,65.75,94.0,1275.0,28.25,80,0.353125
93,46.5,67.5,94.33,1275.0,26.83,80,0.335417
94,47.0,67.25,95.67,1275.0,28.42,80,0.355208
95,47.5,67.5,95.33,1275.0,27.83,80,0.347917
96,48.0,68.5,96.33,1275.0,27.83,80,0.347917
97,48.5,69.0,96.33,1275.0,27.33,80,0.341667
98,49.0,69.75,96.33,1275.0,26.58,80,0.332292
99,49.5,69.25,95.67,1275.0,26.42,80,0.330208
100,50.0,70.0,96.67,1275.0,26.67,80,0.333333
