,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,00:00:00,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
1,00:00:05,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
2,00:00:10,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
3,00:00:15,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
4,00:00:20,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
5,00:00:25,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
6,00:00:30,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
7,00:00:35,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
8,00:00:40,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
9,00:00:45,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
10,00:00:50,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
11,00:00:55,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
12,00:01:00,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
13,00:01:05,300.15,300.15,0.0,0.4132991672688391,80,0.0,90,0,1,-2204.936063106496,-2204.936063106496,0.0
14,00:01:10,300.54999999999995,300.15,0.3999999999999986,0.4132991672688391,80,0.004999999999999982,90,0,1,-2207.8745086345402,-2204.936063106496,-2.9384455280442126
15,00:01:15,300.75,300.15,0.6000000000000014,0.4132991672688391,80,0.007500000000000018,90,0,1,-2209.3437313985632,-2204.936063106496,-4.407668292067228
16,00:01:20,300.75,300.15,0.6000000000000014,0.4132991672688391,80,0.007500000000000018,90,0,1,-2209.3437313985632,-2204.936063106496,-4.407668292067228
17,00:01:25,300.95,300.15,0.8000000000000007,0.4132991672688391,80,0.010000000000000009,90,0,1,-2210.8129541625854,-2204.936063106496,-5.876891056089335
18,00:01:30,301.15,300.15,1.0,0.4132991672688391,80,0.0125,90,0,1,-2212.2821769266075,-2204.936063106496,-7.346113820111441
19,00:01:35,301.54999999999995,300.15,1.3999999999999986,0.4132991672688391,80,0.01749999999999998,90,0,1,-2215.220622454652,-2204.936063106496,-10.284559348156108
20,00:01:40,302.54999999999995,301.15,1.3999999999999986,0.4132991672688391,80,0.01749999999999998,90,0,1,-2222.5667362747636,-2212.2821769266075,-10.284559348156108
21,00:01:45,302.75,301.15,1.6000000000000014,0.4132991672688391,80,0.020000000000000018,90,0,1,-2224.0359590387866,-2212.2821769266075,-11.753782112179124
22,00:01:50,302.15,300.15,2.0,0.4132991672688391,80,0.025,90,0,1,-2219.6282907467194,-2204.936063106496,-14.692227640223336
23,00:01:55,303.34999999999997,301.15,2.1999999999999993,0.4132991672688391,80,0.02749999999999999,90,0,1,-2228.4436273308534,-2212.2821769266075,-16.161450404245898
24,00:02:00,303.34999999999997,301.15,2.1999999999999993,0.4132991672688391,80,0.02749999999999999,90,0,1,-2228.4436273308534,-2212.2821769266075,-16.161450404245898
25,00:02:05,303.75,300.4,3.3500000000000014,0.4132991672688391,80,0.041875000000000016,90,0,1,-2231.382072858898,-2206.7725915615238,-24.60948129737426
26,00:02:10,303.95,301.4,2.5500000000000007,0.4132991672688391,80,0.03187500000000001,90,0,1,-2232.85129562292,-2214.1187053816357,-18.73259024128447
27,00:02:15,304.54999999999995,301.4,3.1499999999999986,0.4132991672688391,80,0.03937499999999998,90,0,1,-2237.258963914987,-2214.1187053816357,-23.140258533351243
