,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
0,00:00:00,34.6,34.25,360.0,120,90,0,1
1,00:00:05,34.8,34.25,360.0,120,90,0,1
2,00:00:10,34.6,34.25,360.0,120,90,0,1
3,00:00:15,34.8,34.25,360.0,120,90,0,1
4,00:00:20,34.6,34.0,360.0,120,90,0,1
5,00:00:25,34.6,34.25,360.0,120,90,0,1
6,00:00:30,34.6,34.0,360.0,120,90,0,1
7,00:00:35,34.6,34.5,360.0,120,90,0,1
8,00:00:40,35.0,34.25,360.0,120,90,0,1
9,00:00:45,34.8,34.5,360.0,120,90,0,1
10,00:00:50,34.8,34.0,360.0,120,90,0,1
11,00:00:55,35.0,34.25,360.0,120,90,0,1
12,00:01:00,35.0,34.5,360.0,120,90,0,1
13,00:01:05,35.2,34.25,360.0,120,90,0,1
14,00:01:10,35.4,34.0,360.0,120,90,0,1
15,00:01:15,35.2,34.25,360.0,120,90,0,1
16,00:01:20,35.8,34.5,360.0,120,90,0,1
17,00:01:25,35.6,34.25,360.0,120,90,0,1
18,00:01:30,36.0,34.5,360.0,120,90,0,1
19,00:01:35,36.0,34.25,360.0,120,90,0,1
20,00:01:40,36.2,34.25,360.0,120,90,0,1
21,00:01:45,36.8,34.5,360.0,120,90,0,1
22,00:01:50,36.8,34.5,360.0,120,90,0,1
23,00:01:55,37.0,34.75,360.0,120,90,0,1
24,00:02:00,37.2,34.5,360.0,120,90,0,1
25,00:02:05,37.8,34.5,360.0,120,90,0,1
26,00:02:10,37.8,34.5,360.0,120,90,0,1
27,00:02:15,38.4,35.0,360.0,120,90,0,1
28,00:02:20,38.8,34.75,360.0,120,90,0,1
29,00:02:25,39.2,35.0,360.0,120,90,0,1
30,00:02:30,39.6,35.0,360.0,120,90,0,1
31,00:02:35,39.8,35.25,360.0,120,90,0,1
32,00:02:40,40.6,35.5,360.0,120,90,0,1
33,00:02:45,40.6,35.25,360.0,120,90,0,1
34,00:02:50,41.2,35.5,360.0,120,90,0,1
35,00:02:55,41.4,35.5,360.0,120,90,0,1
36,00:03:00,42.2,35.75,360.0,120,90,0,1
37,00:03:05,42.4,35.75,360.0,120,90,0,1
