,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,309.0,0.08964214570007953,0.28650189062785175,0.0,0.0,0.007162547265696298,0.0,0.0,0.0,2.092041697229719,0.7211872745307837,2.3049595258589792
1,310.0,0.1178511301977598,0.3100179206289728,0.0,0.0,0.0077504480157243255,0.0,0.0,0.0,2.73483561187916,0.9481336565956721,2.494150240247299
2,311.0,0.12909944487359268,0.284018778721877,0.0,0.0,0.007100469468046929,0.0,0.0,0.0,2.0352876555873465,1.0386283824947693,2.284982441488436
3,312.0,0.3779644730092221,0.41403933560541306,0.0,0.0,0.010350983390135326,0.0,0.0,0.0,2.2206808911283322,3.040792542728732,3.3310213366920745
4,313.0,0.4107919181288802,0.20432816741702456,0.0,0.0,0.005108204185425614,0.0,0.0,0.0,2.0979264956256336,3.3048952757764427,1.64385706096744
5,314.0,0.2457980200625432,0.22894686428659972,0.0,0.0,0.005723671607164998,0.0,0.0,0.0,1.9486395735412883,1.9774895255971923,1.8419189297371885
6,315.0,0.3116058636895455,0.27115823003236617,0.0,0.0,0.006778955750809156,0.0,0.0,0.0,2.8199149965218453,2.5069255293593695,2.1815170013658833
7,316.0,0.0,0.37947331922020705,0.0,0.0,0.009486832980505183,0.0,0.0,0.0,3.0529314833811054,0.0,3.0529314833809753
8,317.0,0.22360679774997064,0.12247448713915768,0.0,0.0,0.0030618621784789515,0.0,0.0,0.0,1.609036171320118,1.7989571286636599,0.9853293993537626
9,318.0,0.12500000000000167,0.2292802748699614,0.0,0.0,0.005732006871749028,0.0,0.0,0.0,2.1950881141595318,1.0056476070749645,1.8446012781795935
10,319.0,0.33229003395626694,0.2361143790623523,0.0,0.0,0.0059028594765588175,0.0,0.0,0.0,2.9958623113890606,2.673333420024139,1.8995828824004537
11,320.0,0.0,0.15118578920369038,0.0,0.0,0.0037796447300922614,0.0,0.0,0.0,1.2163170170916637,0.0,1.216317017091657
12,321.0,0.3535533905932674,0.31809089610018465,0.0,0.0,0.007952272402504618,0.0,0.0,0.0,2.6215665701324378,2.8444009697868653,2.559098787963913
13,322.0,0.12938729237668456,0.20517849372123412,0.0,0.0,0.005129462343030866,0.0,0.0,0.0,2.1821791707547162,1.0409441677163598,1.65069808987185
14,323.0,0.3256175451573337,0.17100020885534456,0.017815943342845267,0.0,0.004275005221383602,0.0,0.0,0.0,119.2727968128393,114.29540522945562,5.070142879903588
15,324.0,0.12198750911858149,0.17895197546774946,0.0,0.0,0.004473799386693723,0.0,0.0,0.0,1.5706652022343472,0.8961341266170431,1.3146015801198088
16,325.0,0.0,0.3352326839390121,0.0,0.0,0.008380817098475308,0.0,0.0,0.0,2.4626574524372526,0.0,2.462657452437472
17,326.0,0.2795084971874769,0.27041634565980066,0.0,0.0,0.006760408641494999,0.0,0.0,0.0,2.544768474923435,2.0533012340271424,1.9865092540354714
18,327.0,0.09731236802019183,0.3253203549323875,0.0,0.0,0.008133008873309686,0.0,0.0,0.0,2.6915505837605394,0.7148677315809867,2.3898403553321956
19,328.0,0.2589313703386626,0.14381174563233162,0.0,0.0,0.0035952936408082986,0.0,0.0,0.0,2.214936655322979,1.902139318105228,1.0564574520840087
20,329.0,0.4617029812088309,0.2865278595280284,0.0,0.0,0.007163196488200713,0.0,0.0,0.0,2.475666826913108,3.3917226510449723,2.1048662687257775
21,330.0,0.3411836015988945,0.2800111604918636,0.0,0.0,0.007000279012296584,0.0,0.0,0.0,1.7793171286961347,2.5063735709010806,2.056993855874862
22,331.0,0.29553298223673785,0.26171280011415116,0.009244239079989882,0.0,0.006542820002853784,0.0,0.0,0.0,58.64653603475849,56.37546416700252,2.855631646530011
23,332.0,0.37080992435477256,0.2575525836277588,0.01707683959119311,0.0,0.006438814590693968,0.0,0.0,0.0,100.04396768834135,95.32787011495937,5.0046497298137504
24,333.0,0.23717082451262955,0.31131441769803525,0.0,0.0,0.007782860442450894,0.0,0.0,0.0,2.0302296465407137,1.4474314812898832,1.8999229339509436
25,334.0,0.10206207261596437,0.2538043866182527,0.0,0.0,0.0063451096654563,0.0,0.0,0.0,1.6223481351235354,0.6228753357569585,1.5489445636310375
26,335.0,0.34418402589044095,0.24093329071490396,0.0,0.0,0.006023332267872599,0.0,0.0,0.0,1.714216858691378,2.100523095345673,1.4703934625524286
27,336.0,0.09449111825230563,0.24702997697407258,0.0,0.0,0.006175749424351766,0.0,0.0,0.0,1.6548199631832174,0.5766705054964613,1.5076009717019365
28,337.0,0.44798933519051554,0.3293512140894914,0.016100198768223394,0.0,0.008233780352237274,0.0,0.0,0.0,91.80411143844783,87.75163630407134,4.457445151211856
29,338.0,0.49165835818835607,0.4088632016299082,0.013097338086607756,0.0,0.010221580040747713,0.0,0.0,0.0,73.28157511970964,69.51065256232687,4.484846899387618
30,339.0,0.2095290887308885,0.2719845763202337,0.0,0.0,0.006799614408005861,0.0,0.0,0.0,1.2270685541642001,1.161778205408544,1.5080758232190044
31,340.0,0.17677669529664833,0.11877349391654173,0.015429059527288295,0.0,0.0029693373479135507,0.0,0.0,0.0,82.04461845159469,77.1220311498822,4.95540231870479
32,341.0,0.4018741706092025,0.22288895706042985,0.0,0.0,0.005572223926510758,0.0,0.0,0.0,1.4923590376141946,2.0180695302340714,1.1192692782107962
33,342.0,0.3854827347307882,0.3584398393754566,0.0,0.0,0.008960995984386488,0.0,0.0,0.0,1.260088278572023,1.9357575536944414,1.7999577259942983
