,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,309.0,307.1142857142857,1.6833333333333331,0.3799685892632876,40.0,0.04208333333333333,90.0,0.0,1.0,-2484.332693325576,-2470.7899722169655,-13.542721108610273
1,310.0,307.15,2.8,0.3799685892632876,40.0,0.06999999999999999,90.0,0.0,1.0,-2493.6038065031817,-2471.0773001047014,-22.526506398480205
2,311.0,307.2333333333333,3.7166666666666663,0.3799685892632876,40.0,0.09291666666666665,90.0,0.0,1.0,-2501.648987359782,-2471.7477318427514,-29.901255517030375
3,312.0,307.7928571428571,4.214285714285714,0.3799685892632875,40.0,0.10535714285714286,90.0,0.0,1.0,-2510.153892836759,-2476.2492020839445,-33.904690752814595
4,313.0,307.95,4.839999999999999,0.3799685892632876,40.0,0.12099999999999997,90.0,0.0,1.0,-2516.4521201359257,-2477.513444789982,-38.93867534594401
5,314.0,307.94166666666666,5.941666666666666,0.3799685892632876,40.0,0.14854166666666666,90.0,0.0,1.0,-2525.2481845391417,-2477.446401616177,-47.80178292296515
6,315.0,308.36875,6.6312500000000005,0.3799685892632876,40.0,0.16578125000000002,90.0,0.0,1.0,-2534.231969829012,-2480.882364273683,-53.349605555329106
7,316.0,308.9,7.050000000000001,0.3799685892632876,40.0,0.17625000000000002,90.0,0.0,1.0,-2541.8748916427817,-2485.156366603752,-56.718525039030055
8,317.0,309.25,7.499999999999998,0.3799685892632876,40.0,0.18749999999999994,90.0,0.0,1.0,-2548.311036328062,-2487.9721799035615,-60.33885642450023
9,318.0,309.65,8.277777777777779,0.3799685892632876,40.0,0.20694444444444443,90.0,0.0,1.0,-2557.7864715591686,-2491.190252246202,-66.59621931296685
10,319.0,310.1083333333333,8.775,0.3799685892632876,40.0,0.219375,90.0,0.0,1.0,-2565.4740888221418,-2494.8776268054767,-70.59646201666548
11,320.0,310.65,8.957142857142856,0.3799685892632875,40.0,0.22392857142857142,90.0,0.0,1.0,-2571.297267346919,-2499.2354331028014,-72.06183424411724
12,321.0,310.9,10.122727272727273,0.3799685892632876,40.0,0.25306818181818186,90.0,0.0,1.0,-2582.68589998808,-2501.2467283169517,-81.4391716711284
13,322.0,311.49375,10.631250000000001,0.3799685892632876,40.0,0.26578125,90.0,0.0,1.0,-2591.5538834322874,-2506.0235544505576,-85.53032898172944
14,323.0,312.05625,10.96875,0.39663387826606333,40.0,0.27421875,90.0,0.0,1.0,-2485.825313106695,-2401.3765434277916,-84.44876967890355
15,324.0,312.32857142857137,11.592857142857143,0.4132991672688391,40.0,0.28982142857142856,90.0,0.0,1.0,-2379.563683058863,-2294.401234987141,-85.16244807172208
16,325.0,312.4,12.521428571428572,0.4132991672688391,40.0,0.3130357142857143,90.0,0.0,1.0,-2386.9097968789747,-2294.9259574028633,-91.98383947611137
17,326.0,312.56666666666666,13.25,0.4132991672688391,40.0,0.33125000000000004,90.0,0.0,1.0,-2393.4863178226933,-2296.150309706215,-97.3360081164784
18,327.0,313.3583333333333,13.608333333333334,0.4132991672688391,40.0,0.3402083333333334,90.0,0.0,1.0,-2401.9343487158217,-2301.9659831471367,-99.96836556868516
19,328.0,314.01363636363635,14.02727272727273,0.4132991672688391,40.0,0.35068181818181815,90.0,0.0,1.0,-2409.8258558346997,-2306.7799137944066,-103.04594204029263
20,329.0,314.55625,14.26875,0.4132991672688391,40.0,0.35671875000000003,90.0,0.0,1.0,-2415.585876898196,-2310.7660153274787,-104.8198615707172
21,330.0,315.259375,14.790625,0.4132991672688391,40.0,0.369765625,90.0,0.0,1.0,-2424.584866327833,-2315.9312516072446,-108.6536147205882
22,331.0,315.9769230769231,15.034615384615384,0.444065854658579,40.0,0.3758653846153846,90.0,0.0,1.0,-2234.6115424948093,-2133.1235728193237,-101.4879696754856
23,332.0,316.4625,15.475,0.46121187315181944,40.0,0.38687499999999997,90.0,0.0,1.0,-2137.4334774730037,-2037.783149155838,-99.65032831716564
24,333.0,316.975,15.955000000000002,0.4799603232799422,40.0,0.398875,90.0,0.0,1.0,-2031.840822142171,-1934.4689412144137,-97.37188092775735
25,334.0,317.94166666666666,16.24166666666667,0.47996032327994226,40.0,0.4060416666666667,90.0,0.0,1.0,-2039.4897988952969,-1940.3684179654945,-99.12138092980229
26,335.0,318.14166666666665,16.688333333333333,0.4799603232799422,40.0,0.4172083333333333,90.0,0.0,1.0,-2043.4363454115373,-1941.58899936227,-101.84734604926732
27,336.0,318.9,17.023333333333333,0.4799603232799422,40.0,0.4255833333333333,90.0,0.0,1.0,-2050.108857047243,-1946.2170371583766,-103.89181988886618
28,337.0,319.625,17.425,0.48995949668160765,40.0,0.43562500000000004,90.0,0.0,1.0,-2000.581867545377,-1897.1831981153234,-103.3986694300539
29,338.0,319.9882352941176,18.06764705882353,0.5074090345786316,40.0,0.4516911764705882,90.0,0.0,1.0,-1907.69224179115,-1805.737628200441,-101.9546135907093
30,339.0,320.040243902439,18.904878048780485,0.5132909012854937,40.0,0.4726219512195121,90.0,0.0,1.0,-1879.3526850979435,-1774.5306032284836,-104.82208186945991
31,340.0,320.9625,19.1875,0.5216235457868816,40.0,0.4796875,90.0,0.0,1.0,-1841.5401225759751,-1737.648621690408,-103.89150088556715
32,341.0,321.2148148148148,19.705555555555552,0.5466214792910453,40.0,0.49263888888888885,90.0,0.0,1.0,-1711.981167233498,-1613.0268572744453,-98.9543099590523
33,342.0,322.0862244897959,19.900510204081634,0.5466214792910453,40.0,0.49751275510204085,90.0,0.0,1.0,-1717.336070600729,-1617.4027675519453,-99.93330304878371
34,343.0,323.1333333333333,19.888666666666666,0.5837295228038927,40.0,0.49721666666666664,90.0,0.0,1.0,-1536.394143572134,-1447.3020847135922,-89.09205885854179
35,344.0,323.4610236220472,20.293700787401576,0.5972734600396394,40.0,0.5073425196850394,90.0,0.0,1.0,-1474.033074659823,-1387.0177611951578,-87.01531346466511
