,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
3,303.15,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,303.95,0.28867513459481287,0.0,0.0,0.05773025455125301,0.0,340.84112373284967,339.94402585824463,0.8970978746051133
6,304.75,1.0606601717798212,0.7071067811865476,0.7071067811865476,0.0471365554571854,0.008838834764831844,267.89962522120135,271.6875841438602,3.787958922658768
7,304.95,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.02356827772859266,0.008838834764831844,150.74137205941258,144.65711808623453,6.084253973177871
34,317.15,0.7071067811865476,4.949747468305833,4.949747468305833,0.0471365554571854,0.06187184335382292,278.8002170267563,233.8677788966628,44.932438130093644
50,325.34999999999997,0.7071067811865476,0.1767766952966369,0.1767766952966369,0.0,0.002209708691207953,0.0,1.2986217243920122,1.298621724392173
53,326.95,0.7071067811865476,0.1767766952966369,0.1767766952966369,0.02356827772859268,0.0022097086912079827,149.07481450198176,143.62528741270467,5.449527089277099
63,331.34999999999997,0.3535533905932738,0.8838834764831844,0.8838834764831844,0.04713655545718536,0.011048543456039806,253.3394365340885,245.00970879935136,8.32972773473697
67,332.95,0.7071067811865476,0.1767766952966369,0.1767766952966369,0.02356827772859268,0.002209708691207953,140.87913027147252,132.3744526345719,8.504677636900631
72,335.15,0.3535533905932738,4.772970773009196,4.772970773009196,0.02356827772859266,0.05966213466261494,116.62034047558869,85.86686436418806,30.753476111400623
75,336.54999999999995,0.3535533905932738,0.8838834764831844,0.8838834764831844,0.09427311091437068,0.011048543456039806,484.98434516347623,460.6209846470366,24.363360516439798
88,340.95,1.0606601717798212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,343.75,1.0606601717798212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,344.81666666666666,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.0,0.004419417382415906,0.0,1.1338758208305293,1.1338758208305695
104,345.15,0.3535533905932738,1.2374368670764582,1.2374368670764582,0.0942731109143708,0.01546796083845571,399.14435183009545,375.26354801165576,23.88080381843964
108,346.54999999999995,0.3535533905932738,0.7071067811865476,0.7071067811865476,0.0942731109143708,0.008838834764831832,400.76336412203256,374.264215377545,26.499148744487577
110,346.95,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.11784138864296347,0.008838834764831813,490.3090672976248,458.13611536307695,32.17295193454793
112,347.34999999999997,3.181980515339464,3.3587572106361008,3.3587572106361008,0.07070483318577803,0.04198446513295129,308.4288841484601,277.283090340157,31.14579380830304
113,347.54999999999995,0.7071067811865476,0.5303300858899106,0.5303300858899106,0.11784138864296334,0.006629126073623899,468.5278757180012,436.54589680315894,31.98197891484224
116,348.4833333333333,0.7637626158259728,1.3228756555322954,1.3228756555322954,0.019243418183751027,0.01653594569415368,76.39461858079245,67.0273036950733,9.719887560228093
121,349.15,0.3535533905932738,4.596194077712559,4.596194077712559,0.07070483318577803,0.057452425971406956,281.6208014708567,271.15525832606124,10.465543144795433
122,349.34999999999997,2.8284271247461903,5.656854249492381,5.656854249492381,0.04713655545718532,0.07071067811865474,175.6444774107591,176.2151511080177,0.5706736972586514
123,349.54999999999995,1.040832999733066,0.3818813079129944,0.38188130791298713,0.019243418183750964,0.004773516348912333,84.33290050622969,77.10896280492956,7.236093035288407
125,349.95,0.7071067811865476,2.1213203435596424,2.1213203435596424,0.02356827772859266,0.026516504294495518,98.45496181153406,85.51849309174716,12.936468719786864
130,350.95,1.5275252316519463,3.165569985537102,3.165569985537097,0.057730254551253,0.03956962481921371,211.73331575003544,203.10955013184952,8.762016503553555
132,351.4833333333333,0.3535533905932738,1.0606601717798212,1.0606601717798212,0.0,0.013258252147247797,0.0,1.822721310118569,1.8227213101186093
133,351.54999999999995,0.3535533905932738,2.2980970388562794,2.2980970388562794,0.11784138864296347,0.02872621298570349,433.9560626885054,407.5149323409594,26.441130347546114
134,352.15,1.0606601717798212,5.833630944789017,5.833630944789017,0.07070483318577803,0.07292038680986267,260.20598056041456,251.84218910102845,8.363791459386125
137,352.54999999999995,0.0,1.2374368670764582,1.2374368670764582,0.1414096663715561,0.01546796083845577,491.8866792964707,458.7567086437571,33.12997065271355
139,352.81666666666666,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.0,0.0022097086912079727,0.0,0.2447539921474732,0.2447539921474933
141,353.15,1.7677669529663689,0.1767766952966369,0.1767766952966369,0.02356827772859266,0.0022097086912079337,90.67504463526133,84.14749712225093,6.527547513010441
144,353.75,1.7677669529663689,0.8838834764831844,0.8838834764831844,0.02356827772859266,0.011048543456039806,90.8291010610894,82.75052538011718,8.078575680972234
145,354.15,0.8660254037844386,2.7424137786507248,2.7424137786507226,0.06666115601110315,0.03428017223313406,223.54258737278417,210.0133567615044,13.808057827772446
146,354.34999999999997,0.0,1.7677669529663689,1.7677669529663689,0.1414096663715561,0.02209708691207961,475.50458351758095,443.32858361796974,32.175999899611256
148,354.54999999999995,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.0,0.0022097086912079337,0.0,0.3037868850198352,0.3037868850198352
149,354.75,0.3535533905932738,0.5303300858899106,0.5303300858899106,0.0,0.00662912607362384,0.0,0.08944153240992297,0.08944153240992549
151,355.15,1.376892636821526,1.1273124382057182,1.1273124382057234,0.09025963192193849,0.014091405477571532,306.73714505583797,285.6546158191825,21.087846423994446
152,355.34999999999997,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.1414096663715561,0.008838834764831872,459.30009040704795,427.62038132447503,31.679709082572852
156,355.95,1.3228756555322954,1.4648663192705869,1.4648663192705793,0.11546050910250599,0.018310828990882225,375.6501606189773,351.4305965837899,24.2236367066578
157,356.15,1.5275252316519465,0.5204164998665388,0.5204164998665335,0.11546050910250602,0.006505206248331638,375.8612296795863,349.9499862174873,25.91124734024616
158,356.34999999999997,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.0,0.004419417382415906,0.0,0.6075737700395096,0.6075737700395096
160,356.54999999999995,1.3149778198382918,1.892969448600095,1.8929694486000914,0.09999173401665463,0.02366211810750112,325.87095553706007,305.57960522191274,20.308587732097095
161,356.81666666666666,1.4404860290887933,1.2424773639789182,1.2424773639789177,0.027886362278520795,0.01553096704973647,84.25458640185323,78.07573381682467,6.184179712567063
163,357.15,3.8890872965260113,1.0606601717798212,1.0606601717798212,0.1414096663715561,0.013258252147247738,461.62664215246144,430.39889183781105,31.227750314650383
164,357.34999999999997,1.6072751268321595,2.886751345948133,2.886751345948129,0.09621709091875501,0.03608439182435161,308.2303422110865,289.41285132004106,18.817490891045487
165,357.4833333333333,1.0606601717798212,0.7071067811865476,0.7071067811865476,0.0,0.008838834764831872,0.0,0.07738120737282206,0.07738120737282206
