,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
121,00:10:05,54.8,41.5,360,60,90,0,1
122,00:10:10,55.0,41.5,360,60,90,0,1
123,00:10:15,55.0,41.5,360,60,90,0,1
124,00:10:20,55.2,41.75,360,60,90,0,1
125,00:10:25,55.4,42.0,360,60,90,0,1
126,00:10:30,55.6,42.0,360,60,90,0,1
127,00:10:35,55.6,42.25,360,60,90,0,1
128,00:10:40,55.6,42.25,360,60,90,0,1
129,00:10:45,55.8,42.25,360,60,90,0,1
130,00:10:50,55.2,41.25,360,60,90,0,1
131,00:10:55,55.4,41.25,360,60,90,0,1
132,00:11:00,55.6,41.5,360,60,90,0,1
133,00:11:05,55.6,41.5,360,60,90,0,1
134,00:11:10,56.8,42.5,360,60,90,0,1
135,00:11:15,56.8,42.5,360,60,90,0,1
136,00:11:20,56.8,42.5,360,60,90,0,1
137,00:11:25,57.2,42.75,360,60,90,0,1
138,00:11:30,57.2,42.75,360,60,90,0,1
139,00:11:35,56.6,41.75,360,60,90,0,1
140,00:11:40,56.6,43.0,360,60,90,0,1
141,00:11:45,57.8,43.25,360,60,90,0,1
142,00:11:50,58.0,43.25,360,60,90,0,1
143,00:11:55,58.4,43.25,360,60,90,0,1
144,00:12:00,58.4,43.25,360,60,90,0,1
145,00:12:05,58.6,43.25,360,60,90,0,1
146,00:12:10,58.6,43.25,360,60,90,0,1
147,00:12:15,58.6,43.25,360,60,90,0,1
148,00:12:20,58.2,42.75,360,60,90,0,1
149,00:12:25,59.2,43.75,360,60,90,0,1
150,00:12:30,59.2,43.75,385,60,90,0,1
151,00:12:35,58.2,43.0,385,60,90,0,1
152,00:12:40,59.6,44.0,385,60,90,0,1
153,00:12:45,59.4,44.0,385,60,90,0,1
154,00:12:50,59.0,43.0,385,60,90,0,1
155,00:12:55,59.2,44.0,385,60,90,0,1
156,00:13:00,60.2,44.0,385,60,90,0,1
157,00:13:05,60.4,44.0,385,60,90,0,1
158,00:13:10,60.2,44.0,385,60,90,0,1
159,00:13:15,60.2,44.0,385,60,90,0,1
160,00:13:20,60.2,44.0,385,60,90,0,1
161,00:13:25,60.8,44.5,410,60,90,0,1
162,00:13:30,61.0,44.5,410,60,90,0,1
163,00:13:35,60.6,44.75,410,60,90,0,1
164,00:13:40,60.8,44.5,410,60,90,0,1
165,00:13:45,60.8,44.5,410,60,90,0,1
166,00:13:50,61.0,44.5,410,60,90,0,1
167,00:13:55,61.0,44.5,410,60,90,0,1
168,00:14:00,61.2,44.75,410,60,90,0,1
169,00:14:05,61.4,44.75,410,60,90,0,1
170,00:14:10,61.4,45.0,410,60,90,0,1
171,00:14:15,61.8,45.0,410,60,90,0,1
172,00:14:20,61.4,45.0,410,60,90,0,1
173,00:14:25,61.4,45.0,410,60,90,0,1
174,00:14:30,61.8,44.75,410,60,90,0,1
175,00:14:35,61.8,44.75,410,60,90,0,1
176,00:14:40,61.8,44.75,410,60,90,0,1
177,00:14:45,62.0,44.75,410,60,90,0,1
178,00:14:50,62.6,45.0,410,60,90,0,1
179,00:14:55,62.6,45.0,410,60,90,0,1
180,00:15:00,62.8,45.0,410,60,90,0,1
181,00:15:05,62.8,45.0,410,60,90,0,1
182,00:15:10,62.8,45.0,410,60,90,0,1
183,00:15:15,62.8,45.0,410,60,90,0,1
184,00:15:20,62.8,45.25,410,60,90,0,1
185,00:15:25,63.0,45.25,410,60,90,0,1
186,00:15:30,63.0,45.5,410,60,90,0,1
187,00:15:35,63.2,45.5,410,60,90,0,1
188,00:15:40,63.2,45.5,410,60,90,0,1
189,00:15:45,63.6,45.75,435,60,90,0,1
190,00:15:50,63.2,45.5,435,60,90,0,1
191,00:15:55,63.6,45.5,435,60,90,0,1
192,00:16:00,63.6,45.75,435,60,90,0,1
193,00:16:05,63.8,45.75,435,60,90,0,1
194,00:16:10,63.8,45.75,435,60,90,0,1
195,00:16:15,64.0,45.5,435,60,90,0,1
196,00:16:20,62.8,44.5,435,60,90,0,1
197,00:16:25,63.4,44.5,435,60,90,0,1
198,00:16:30,63.2,44.75,435,60,90,0,1
199,00:16:35,63.8,45.0,435,60,90,0,1
200,00:16:40,63.8,45.0,435,60,90,0,1
201,00:16:45,64.6,46.0,435,60,90,0,1
202,00:16:50,64.8,46.0,435,60,90,0,1
203,00:16:55,64.6,46.5,435,60,90,0,1
204,00:17:00,64.8,46.5,435,60,90,0,1
205,00:17:05,65.0,46.5,435,60,90,0,1
206,00:17:10,64.8,46.5,435,60,90,0,1
207,00:17:15,64.8,46.5,435,60,90,0,1
208,00:17:20,65.2,46.5,435,60,90,0,1
209,00:17:25,64.2,45.5,435,60,90,0,1
210,00:17:30,63.8,45.5,435,60,90,0,1
211,00:17:35,64.0,45.5,435,60,90,0,1
212,00:17:40,64.0,45.5,435,60,90,0,1
213,00:17:45,64.2,45.5,435,60,90,0,1
214,00:17:50,65.6,47.0,435,60,90,0,1
215,00:17:55,65.8,46.75,435,60,90,0,1
216,00:18:00,65.6,47.0,435,60,90,0,1
217,00:18:05,65.8,47.0,460,60,90,0,1
218,00:18:10,66.4,47.0,460,60,90,0,1
219,00:18:15,66.4,47.0,460,60,90,0,1
220,00:18:20,66.4,47.25,460,60,90,0,1
221,00:18:25,66.6,47.25,460,60,90,0,1
222,00:18:30,67.0,47.25,460,60,90,0,1
223,00:18:35,66.8,47.25,460,60,90,0,1
224,00:18:40,66.8,47.25,460,60,90,0,1
225,00:18:45,67.0,47.5,460,60,90,0,1
226,00:18:50,66.8,47.25,460,60,90,0,1
227,00:18:55,66.6,47.5,460,60,90,0,1
228,00:19:00,66.8,47.5,460,60,90,0,1
229,00:19:05,66.8,47.5,460,60,90,0,1
230,00:19:10,66.6,47.75,460,60,90,0,1
231,00:19:15,67.2,47.75,460,60,90,0,1
232,00:19:20,67.6,48.0,460,60,90,0,1
