,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,00:00:00,301.75,301.15,0.6000000000000014,0.4132991672688391,60,0.010000000000000024,90,0,1,-2216.6898452186747,-2212.2821769266075,-4.407668292067228
1,00:00:05,301.95,301.15,0.8000000000000007,0.4132991672688391,60,0.013333333333333345,90,0,1,-2218.159067982697,-2212.2821769266075,-5.876891056089335
2,00:00:10,301.95,301.4,0.5500000000000007,0.4132991672688391,60,0.009166666666666679,90,0,1,-2218.159067982697,-2214.1187053816357,-4.040362601061133
3,00:00:15,301.95,301.4,0.5500000000000007,0.4132991672688391,60,0.009166666666666679,90,0,1,-2218.159067982697,-2214.1187053816357,-4.040362601061133
4,00:00:20,302.15,301.15,1.0,0.4132991672688391,60,0.016666666666666666,90,0,1,-2219.6282907467194,-2212.2821769266075,-7.346113820111896
5,00:00:25,302.15,301.4,0.75,0.4132991672688391,60,0.0125,90,0,1,-2219.6282907467194,-2214.1187053816357,-5.509585365083694
6,00:00:30,302.34999999999997,301.4,0.9499999999999993,0.4132991672688391,60,0.01583333333333332,90,0,1,-2221.0975135107415,-2214.1187053816357,-6.978808129105801
7,00:00:35,302.54999999999995,301.4,1.1499999999999986,0.4132991672688391,60,0.019166666666666644,90,0,1,-2222.5667362747636,-2214.1187053816357,-8.448030893127907
8,00:00:40,302.54999999999995,301.4,1.1499999999999986,0.4132991672688391,60,0.019166666666666644,90,0,1,-2222.5667362747636,-2214.1187053816357,-8.448030893127907
9,00:00:45,302.54999999999995,301.4,1.1499999999999986,0.4132991672688391,60,0.019166666666666644,90,0,1,-2222.5667362747636,-2214.1187053816357,-8.448030893127907
10,00:00:50,302.75,301.4,1.3500000000000014,0.4132991672688391,60,0.022500000000000023,90,0,1,-2224.0359590387866,-2214.1187053816357,-9.917253657150923
11,00:00:55,302.95,301.4,1.5500000000000007,0.4132991672688391,60,0.025833333333333344,90,0,1,-2225.5051818028082,-2214.1187053816357,-11.386476421172574
12,00:01:00,303.15,301.65,1.5,0.4132991672688391,60,0.025,90,0,1,-2226.974404566831,-2215.9552338366634,-11.019170730167389
13,00:01:05,303.34999999999997,301.65,1.6999999999999993,0.4132991672688391,60,0.02833333333333332,90,0,1,-2228.4436273308534,-2215.9552338366634,-12.48839349418995
14,00:01:10,303.34999999999997,301.65,1.6999999999999993,0.4132991672688391,60,0.02833333333333332,90,0,1,-2228.4436273308534,-2215.9552338366634,-12.48839349418995
15,00:01:15,303.54999999999995,301.65,1.8999999999999986,0.4132991672688391,60,0.03166666666666664,90,0,1,-2229.912850094875,-2215.9552338366634,-13.957616258211601
16,00:01:20,303.75,301.65,2.1000000000000014,0.4132991672688391,60,0.035000000000000024,90,0,1,-2231.382072858898,-2215.9552338366634,-15.426839022234617
17,00:01:25,304.15,301.65,2.5,0.4132991672688391,60,0.041666666666666664,90,0,1,-2234.3205183869422,-2215.9552338366634,-18.36528455027883
